order_id,date,sku,quantity,unit_price,gross_sales,shipping_revenue,actual_shipping_cost,refund_status,refund_amount
14290,10/1/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
11436,10/1/2023,GAMER-CHAIR-PRO,1,199.99,199.99,0,57.5,Completed,0
12218,10/1/2023,USB-C-CABLE-2M,1,12.99,12.99,9.99,5.35,Completed,0
10036,10/1/2023,GAMER-CHAIR-PRO,1,199.99,199.99,0,57.5,Completed,0
10860,10/1/2023,GENERIC-GADGET-11,1,66.71,66.71,0,6.75,Completed,0
14217,10/2/2023,GENERIC-GADGET-6,1,38.3,38.3,9.99,6.75,Completed,0
12264,10/2/2023,SMART-HUB-X,1,89.99,89.99,0,6.75,Completed,0
11618,10/2/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Completed,0
11100,10/2/2023,GENERIC-GADGET-11,2,66.71,133.42,0,6.75,Completed,0
11612,10/2/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Completed,0
10336,10/2/2023,SCREEN-CLEAN-KIT,1,9.99,9.99,9.99,5.7,Completed,0
10708,10/2/2023,GENERIC-GADGET-3,1,59.05,59.05,0,8.15,Completed,0
14025,10/2/2023,GENERIC-GADGET-2,1,59.9,59.9,0,7.1,Completed,0
10724,10/2/2023,GENERIC-GADGET-4,1,65.08,65.08,0,8.15,Completed,0
11764,10/2/2023,MOUSE-PAD-XL,1,24.99,24.99,9.99,6.4,Completed,0
13186,10/2/2023,VR-HEADSET-LITE,1,299.99,299.99,0,7.8,Completed,0
11623,10/2/2023,VR-HEADSET-LITE,1,299.99,299.99,0,7.8,Completed,0
11924,10/2/2023,SCREEN-CLEAN-KIT,1,9.99,9.99,9.99,5.7,Completed,0
11759,10/2/2023,GENERIC-GADGET-9,1,44.07,44.07,9.99,6.4,Completed,0
10304,10/2/2023,SMART-HUB-X,1,89.99,89.99,0,6.75,Completed,0
14333,10/2/2023,GENERIC-GADGET-2,1,59.9,59.9,0,7.1,Completed,0
14389,10/2/2023,GENERIC-GADGET-4,1,65.08,65.08,0,8.15,Completed,0
12903,10/2/2023,GENERIC-GADGET-0,1,50.75,50.75,0,7.45,Completed,0
12582,10/2/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Refunded,-129.99
10178,10/2/2023,SMART-HUB-X,2,89.99,179.98,0,6.75,Completed,0
10863,10/2/2023,GENERIC-GADGET-3,2,59.05,118.1,0,8.15,Refunded,-118.1
11204,10/2/2023,GENERIC-GADGET-11,1,66.71,66.71,0,6.75,Completed,0
10584,10/2/2023,GENERIC-GADGET-0,1,50.75,50.75,0,7.45,Completed,0
11279,10/2/2023,GENERIC-GADGET-2,1,59.9,59.9,0,7.1,Completed,0
11676,10/2/2023,MOUSE-PAD-XL,1,24.99,24.99,9.99,6.4,Completed,0
12677,10/2/2023,MOUSE-PAD-XL,1,24.99,24.99,9.99,6.4,Completed,0
10247,10/2/2023,GENERIC-GADGET-11,3,66.71,200.13,0,6.75,Completed,0
13299,10/2/2023,GENERIC-GADGET-10,1,77.76,77.76,0,8.15,Completed,0
13889,10/2/2023,MOUSE-PAD-XL,1,24.99,24.99,9.99,6.4,Completed,0
12770,10/2/2023,GENERIC-GADGET-10,1,77.76,77.76,0,8.15,Completed,0
10264,10/2/2023,SMART-HUB-X,1,89.99,89.99,0,6.75,Completed,0
11405,10/2/2023,SMART-HUB-X,1,89.99,89.99,0,6.75,Completed,0
10440,10/2/2023,GENERIC-GADGET-9,1,44.07,44.07,9.99,6.4,Completed,0
13689,10/2/2023,GENERIC-GADGET-11,3,66.71,200.13,0,6.75,Completed,0
14236,10/2/2023,GENERIC-GADGET-9,1,44.07,44.07,9.99,6.4,Completed,0
12918,10/2/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Completed,0
10267,10/2/2023,GENERIC-GADGET-9,1,44.07,44.07,9.99,6.4,Completed,0
14377,10/2/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
11909,10/2/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
11460,10/2/2023,SMART-HUB-X,1,89.99,89.99,0,6.75,Completed,0
13514,10/2/2023,GENERIC-GADGET-0,1,50.75,50.75,0,7.45,Completed,0
12276,10/2/2023,GENERIC-GADGET-9,1,44.07,44.07,9.99,6.4,Completed,0
10808,10/2/2023,GENERIC-GADGET-7,3,33.15,99.45,0,7.45,Refunded,-99.45
14312,10/2/2023,GENERIC-GADGET-4,2,65.08,130.16,0,8.15,Completed,0
12331,10/2/2023,GAMER-CHAIR-PRO,1,199.99,199.99,0,57.5,Refunded,-199.99
11538,10/2/2023,LAPTOP-STAND-ALU,1,59.99,59.99,0,9.2,Completed,0
11509,10/2/2023,GENERIC-GADGET-2,1,59.9,59.9,0,7.1,Completed,0
12991,10/2/2023,GENERIC-GADGET-0,1,50.75,50.75,0,7.45,Completed,0
14075,10/2/2023,GENERIC-GADGET-4,1,65.08,65.08,0,8.15,Completed,0
13569,10/2/2023,USB-C-CABLE-2M,3,12.99,38.97,9.99,5.35,Completed,0
11504,10/2/2023,GENERIC-GADGET-3,1,59.05,59.05,0,8.15,Refunded,-59.05
12316,10/2/2023,GENERIC-GADGET-5,1,76.53,76.53,0,8.15,Completed,0
12339,10/2/2023,GENERIC-GADGET-1,1,65.5,65.5,0,6.75,Completed,0
12847,10/2/2023,GENERIC-GADGET-9,1,44.07,44.07,9.99,6.4,Completed,0
14286,10/2/2023,SCREEN-CLEAN-KIT,1,9.99,9.99,9.99,5.7,Completed,0
12013,10/3/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
11468,10/3/2023,GENERIC-GADGET-1,1,65.5,65.5,0,6.75,Completed,0
13802,10/3/2023,GENERIC-GADGET-1,1,65.5,65.5,0,6.75,Completed,0
11775,10/3/2023,MOUSE-PAD-XL,2,24.99,49.98,9.99,6.4,Completed,0
13048,10/3/2023,GENERIC-GADGET-1,2,65.5,131,0,6.75,Completed,0
13337,10/3/2023,SMART-HUB-X,1,89.99,89.99,0,6.75,Completed,0
11943,10/3/2023,GENERIC-GADGET-4,1,65.08,65.08,0,8.15,Completed,0
13121,10/3/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
13985,10/3/2023,GENERIC-GADGET-7,1,33.15,33.15,9.99,7.45,Completed,0
12628,10/3/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
13708,10/3/2023,VR-HEADSET-LITE,1,299.99,299.99,0,7.8,Refunded,-299.99
12535,10/3/2023,LAPTOP-STAND-ALU,1,59.99,59.99,0,9.2,Completed,0
12261,10/3/2023,GENERIC-GADGET-10,1,77.76,77.76,0,8.15,Refunded,-77.76
11543,10/3/2023,GENERIC-GADGET-1,1,65.5,65.5,0,6.75,Refunded,-65.5
10657,10/3/2023,SCREEN-CLEAN-KIT,1,9.99,9.99,9.99,5.7,Completed,0
11815,10/3/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
10322,10/3/2023,GENERIC-GADGET-6,1,38.3,38.3,9.99,6.75,Completed,0
12052,10/3/2023,GENERIC-GADGET-5,1,76.53,76.53,0,8.15,Completed,0
11724,10/3/2023,VR-HEADSET-LITE,1,299.99,299.99,0,7.8,Completed,0
13918,10/3/2023,USB-C-CABLE-2M,1,12.99,12.99,9.99,5.35,Completed,0
13688,10/3/2023,GENERIC-GADGET-4,1,65.08,65.08,0,8.15,Completed,0
11375,10/3/2023,GAMER-CHAIR-PRO,1,199.99,199.99,0,57.5,Completed,0
12863,10/3/2023,GENERIC-GADGET-10,1,77.76,77.76,0,8.15,Completed,0
11432,10/3/2023,MECH-KEYBOARD-RGB,2,129.99,259.98,0,10.25,Completed,0
10094,10/3/2023,SMART-HUB-X,1,89.99,89.99,0,6.75,Refunded,-89.99
13131,10/3/2023,GENERIC-GADGET-5,1,76.53,76.53,0,8.15,Completed,0
10698,10/3/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Completed,0
11591,10/3/2023,GENERIC-GADGET-0,1,50.75,50.75,0,7.45,Completed,0
10026,10/3/2023,GENERIC-GADGET-4,1,65.08,65.08,0,8.15,Completed,0
11610,10/3/2023,GENERIC-GADGET-10,1,77.76,77.76,0,8.15,Completed,0
12818,10/3/2023,GENERIC-GADGET-9,1,44.07,44.07,9.99,6.4,Completed,0
11051,10/3/2023,GENERIC-GADGET-4,2,65.08,130.16,0,8.15,Completed,0
12366,10/3/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Completed,0
10781,10/3/2023,GENERIC-GADGET-7,1,33.15,33.15,9.99,7.45,Completed,0
10313,10/3/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
13513,10/3/2023,SCREEN-CLEAN-KIT,1,9.99,9.99,9.99,5.7,Completed,0
12708,10/3/2023,GENERIC-GADGET-11,1,66.71,66.71,0,6.75,Completed,0
10585,10/3/2023,GENERIC-GADGET-7,1,33.15,33.15,9.99,7.45,Completed,0
10316,10/3/2023,GENERIC-GADGET-6,1,38.3,38.3,9.99,6.75,Completed,0
10586,10/3/2023,GENERIC-GADGET-6,1,38.3,38.3,9.99,6.75,Completed,0
14225,10/3/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Completed,0
11205,10/3/2023,MOUSE-PAD-XL,1,24.99,24.99,9.99,6.4,Completed,0
10960,10/3/2023,SMART-HUB-X,3,89.99,269.97,0,6.75,Completed,0
11679,10/3/2023,SCREEN-CLEAN-KIT,1,9.99,9.99,9.99,5.7,Completed,0
11993,10/3/2023,GAMER-CHAIR-PRO,1,199.99,199.99,0,57.5,Completed,0
10014,10/3/2023,GAMER-CHAIR-PRO,3,199.99,599.97,0,57.5,Completed,0
12346,10/3/2023,GENERIC-GADGET-7,1,33.15,33.15,9.99,7.45,Completed,0
11862,10/3/2023,GENERIC-GADGET-11,1,66.71,66.71,0,6.75,Completed,0
11358,10/3/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Completed,0
13101,10/3/2023,VR-HEADSET-LITE,2,299.99,599.98,0,7.8,Completed,0
13596,10/3/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Completed,0
13891,10/3/2023,GENERIC-GADGET-1,2,65.5,131,0,6.75,Completed,0
12455,10/3/2023,SCREEN-CLEAN-KIT,1,9.99,9.99,9.99,5.7,Completed,0
13693,10/3/2023,GENERIC-GADGET-9,2,44.07,88.14,0,6.4,Completed,0
11923,10/3/2023,VR-HEADSET-LITE,1,299.99,299.99,0,7.8,Refunded,-299.99
10740,10/3/2023,GAMER-CHAIR-PRO,1,199.99,199.99,0,57.5,Completed,0
12931,10/3/2023,GENERIC-GADGET-9,1,44.07,44.07,9.99,6.4,Completed,0
12753,10/3/2023,GENERIC-GADGET-6,1,38.3,38.3,9.99,6.75,Completed,0
10328,10/4/2023,GENERIC-GADGET-5,1,76.53,76.53,0,8.15,Refunded,-76.53
11976,10/4/2023,LAPTOP-STAND-ALU,1,59.99,59.99,0,9.2,Completed,0
11968,10/4/2023,GENERIC-GADGET-10,1,77.76,77.76,0,8.15,Completed,0
12352,10/4/2023,GAMER-CHAIR-PRO,1,199.99,199.99,0,57.5,Completed,0
14367,10/4/2023,MOUSE-PAD-XL,1,24.99,24.99,9.99,6.4,Completed,0
10884,10/4/2023,GENERIC-GADGET-3,2,59.05,118.1,0,8.15,Completed,0
11713,10/4/2023,VR-HEADSET-LITE,1,299.99,299.99,0,7.8,Refunded,-299.99
11059,10/4/2023,VR-HEADSET-LITE,3,299.99,899.97,0,7.8,Refunded,-899.97
13805,10/4/2023,LAPTOP-STAND-ALU,1,59.99,59.99,0,9.2,Completed,0
13646,10/4/2023,MOUSE-PAD-XL,1,24.99,24.99,9.99,6.4,Completed,0
14241,10/4/2023,GENERIC-GADGET-10,1,77.76,77.76,0,8.15,Completed,0
14201,10/4/2023,GENERIC-GADGET-1,3,65.5,196.5,0,6.75,Completed,0
13260,10/4/2023,GENERIC-GADGET-2,1,59.9,59.9,0,7.1,Completed,0
11961,10/4/2023,VR-HEADSET-LITE,1,299.99,299.99,0,7.8,Completed,0
13262,10/4/2023,GENERIC-GADGET-6,1,38.3,38.3,9.99,6.75,Completed,0
11009,10/4/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Refunded,-46.52
11431,10/4/2023,GENERIC-GADGET-3,2,59.05,118.1,0,8.15,Completed,0
13716,10/4/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Refunded,-129.99
13378,10/4/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
14135,10/4/2023,VR-HEADSET-LITE,1,299.99,299.99,0,7.8,Refunded,-299.99
10506,10/4/2023,GENERIC-GADGET-10,1,77.76,77.76,0,8.15,Completed,0
11348,10/4/2023,VR-HEADSET-LITE,1,299.99,299.99,0,7.8,Completed,0
13966,10/4/2023,GENERIC-GADGET-7,1,33.15,33.15,9.99,7.45,Completed,0
10085,10/4/2023,GENERIC-GADGET-0,2,50.75,101.5,0,7.45,Completed,0
10750,10/4/2023,GENERIC-GADGET-1,1,65.5,65.5,0,6.75,Completed,0
11755,10/4/2023,GENERIC-GADGET-1,1,65.5,65.5,0,6.75,Completed,0
10087,10/4/2023,GENERIC-GADGET-3,1,59.05,59.05,0,8.15,Completed,0
10088,10/4/2023,GENERIC-GADGET-6,1,38.3,38.3,9.99,6.75,Completed,0
12989,10/4/2023,GENERIC-GADGET-6,1,38.3,38.3,9.99,6.75,Completed,0
10498,10/4/2023,GENERIC-GADGET-0,1,50.75,50.75,0,7.45,Completed,0
13712,10/4/2023,LAPTOP-STAND-ALU,1,59.99,59.99,0,9.2,Completed,0
12411,10/4/2023,USB-C-CABLE-2M,2,12.99,25.98,9.99,5.35,Completed,0
12841,10/4/2023,GENERIC-GADGET-6,1,38.3,38.3,9.99,6.75,Completed,0
10091,10/4/2023,GENERIC-GADGET-6,1,38.3,38.3,9.99,6.75,Completed,0
13957,10/4/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
12845,10/4/2023,MOUSE-PAD-XL,1,24.99,24.99,9.99,6.4,Completed,0
10492,10/4/2023,GENERIC-GADGET-10,1,77.76,77.76,0,8.15,Completed,0
13058,10/4/2023,VR-HEADSET-LITE,1,299.99,299.99,0,7.8,Completed,0
13052,10/4/2023,GENERIC-GADGET-8,3,46.52,139.56,0,7.8,Completed,0
10134,10/4/2023,GENERIC-GADGET-0,1,50.75,50.75,0,7.45,Completed,0
12240,10/4/2023,GENERIC-GADGET-0,1,50.75,50.75,0,7.45,Completed,0
14403,10/4/2023,GENERIC-GADGET-3,1,59.05,59.05,0,8.15,Completed,0
11633,10/4/2023,GENERIC-GADGET-9,3,44.07,132.21,0,6.4,Completed,0
11950,10/4/2023,SMART-HUB-X,1,89.99,89.99,0,6.75,Completed,0
12312,10/4/2023,GENERIC-GADGET-1,1,65.5,65.5,0,6.75,Completed,0
12059,10/4/2023,GENERIC-GADGET-7,3,33.15,99.45,0,7.45,Refunded,-99.45
12370,10/4/2023,LAPTOP-STAND-ALU,1,59.99,59.99,0,9.2,Completed,0
12786,10/4/2023,MOUSE-PAD-XL,1,24.99,24.99,9.99,6.4,Completed,0
13553,10/4/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
13421,10/4/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Completed,0
10160,10/4/2023,VR-HEADSET-LITE,1,299.99,299.99,0,7.8,Completed,0
13207,10/4/2023,GENERIC-GADGET-6,1,38.3,38.3,9.99,6.75,Completed,0
13732,10/4/2023,GENERIC-GADGET-9,1,44.07,44.07,9.99,6.4,Completed,0
11871,10/4/2023,GENERIC-GADGET-4,1,65.08,65.08,0,8.15,Completed,0
11101,10/4/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Completed,0
10646,10/4/2023,SMART-HUB-X,2,89.99,179.98,0,6.75,Completed,0
12187,10/4/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
10865,10/4/2023,USB-C-CABLE-2M,1,12.99,12.99,9.99,5.35,Completed,0
11003,10/4/2023,GENERIC-GADGET-5,3,76.53,229.59,0,8.15,Completed,0
11466,10/4/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
10524,10/4/2023,GENERIC-GADGET-7,2,33.15,66.3,0,7.45,Completed,0
10993,10/4/2023,GENERIC-GADGET-6,3,38.3,114.9,0,6.75,Completed,0
14392,10/5/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
11930,10/5/2023,GENERIC-GADGET-7,1,33.15,33.15,9.99,7.45,Completed,0
10254,10/5/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Completed,0
11085,10/5/2023,USB-C-CABLE-2M,1,12.99,12.99,9.99,5.35,Completed,0
11120,10/5/2023,SCREEN-CLEAN-KIT,1,9.99,9.99,9.99,5.7,Completed,0
10484,10/5/2023,MOUSE-PAD-XL,1,24.99,24.99,9.99,6.4,Completed,0
13678,10/5/2023,GENERIC-GADGET-5,1,76.53,76.53,0,8.15,Completed,0
11959,10/5/2023,VR-HEADSET-LITE,1,299.99,299.99,0,7.8,Completed,0
13184,10/5/2023,SCREEN-CLEAN-KIT,1,9.99,9.99,9.99,5.7,Completed,0
11766,10/5/2023,GENERIC-GADGET-11,1,66.71,66.71,0,6.75,Completed,0
14370,10/5/2023,GENERIC-GADGET-11,1,66.71,66.71,0,6.75,Completed,0
12858,10/5/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
10994,10/5/2023,SCREEN-CLEAN-KIT,1,9.99,9.99,9.99,5.7,Completed,0
11587,10/5/2023,SCREEN-CLEAN-KIT,1,9.99,9.99,9.99,5.7,Completed,0
13711,10/5/2023,GENERIC-GADGET-7,1,33.15,33.15,9.99,7.45,Completed,0
14161,10/5/2023,GENERIC-GADGET-1,2,65.5,131,0,6.75,Completed,0
11353,10/5/2023,GENERIC-GADGET-10,1,77.76,77.76,0,8.15,Completed,0
13633,10/5/2023,GENERIC-GADGET-3,1,59.05,59.05,0,8.15,Completed,0
14280,10/5/2023,MOUSE-PAD-XL,1,24.99,24.99,9.99,6.4,Completed,0
13745,10/5/2023,VR-HEADSET-LITE,3,299.99,899.97,0,7.8,Completed,0
12435,10/5/2023,GENERIC-GADGET-8,3,46.52,139.56,0,7.8,Completed,0
13713,10/5/2023,GENERIC-GADGET-5,1,76.53,76.53,0,8.15,Completed,0
10838,10/5/2023,GENERIC-GADGET-2,1,59.9,59.9,0,7.1,Completed,0
12067,10/5/2023,GENERIC-GADGET-11,1,66.71,66.71,0,6.75,Completed,0
12957,10/5/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
12534,10/5/2023,GENERIC-GADGET-3,1,59.05,59.05,0,8.15,Completed,0
11273,10/5/2023,MECH-KEYBOARD-RGB,2,129.99,259.98,0,10.25,Completed,0
14017,10/5/2023,GENERIC-GADGET-1,1,65.5,65.5,0,6.75,Completed,0
10127,10/5/2023,VR-HEADSET-LITE,3,299.99,899.97,0,7.8,Completed,0
11167,10/5/2023,MOUSE-PAD-XL,1,24.99,24.99,9.99,6.4,Completed,0
13910,10/5/2023,SCREEN-CLEAN-KIT,1,9.99,9.99,9.99,5.7,Completed,0
11354,10/5/2023,GENERIC-GADGET-7,2,33.15,66.3,0,7.45,Completed,0
13914,10/5/2023,GENERIC-GADGET-7,1,33.15,33.15,9.99,7.45,Completed,0
12462,10/5/2023,GENERIC-GADGET-3,1,59.05,59.05,0,8.15,Completed,0
10919,10/5/2023,GENERIC-GADGET-7,3,33.15,99.45,0,7.45,Completed,0
11291,10/5/2023,GENERIC-GADGET-4,1,65.08,65.08,0,8.15,Completed,0
14140,10/5/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Completed,0
10352,10/5/2023,GENERIC-GADGET-2,1,59.9,59.9,0,7.1,Completed,0
13963,10/5/2023,GENERIC-GADGET-3,3,59.05,177.15,0,8.15,Completed,0
11666,10/5/2023,GENERIC-GADGET-0,1,50.75,50.75,0,7.45,Completed,0
14322,10/5/2023,GENERIC-GADGET-1,1,65.5,65.5,0,6.75,Completed,0
13523,10/5/2023,GAMER-CHAIR-PRO,2,199.99,399.98,0,57.5,Completed,0
12394,10/5/2023,GAMER-CHAIR-PRO,2,199.99,399.98,0,57.5,Completed,0
10620,10/5/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
11817,10/5/2023,GENERIC-GADGET-9,1,44.07,44.07,9.99,6.4,Completed,0
11448,10/5/2023,GENERIC-GADGET-6,1,38.3,38.3,9.99,6.75,Completed,0
13134,10/6/2023,SMART-HUB-X,1,89.99,89.99,0,6.75,Completed,0
10034,10/6/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Completed,0
14402,10/6/2023,GENERIC-GADGET-2,1,59.9,59.9,0,7.1,Completed,0
12451,10/6/2023,GENERIC-GADGET-2,1,59.9,59.9,0,7.1,Completed,0
11382,10/6/2023,GENERIC-GADGET-10,1,77.76,77.76,0,8.15,Completed,0
14141,10/6/2023,GENERIC-GADGET-4,1,65.08,65.08,0,8.15,Completed,0
12402,10/6/2023,GENERIC-GADGET-11,1,66.71,66.71,0,6.75,Completed,0
11917,10/6/2023,GAMER-CHAIR-PRO,1,199.99,199.99,0,57.5,Completed,0
13959,10/6/2023,LAPTOP-STAND-ALU,1,59.99,59.99,0,9.2,Refunded,-59.99
10078,10/6/2023,GENERIC-GADGET-8,2,46.52,93.04,0,7.8,Completed,0
13837,10/6/2023,GENERIC-GADGET-2,1,59.9,59.9,0,7.1,Refunded,-59.9
10958,10/6/2023,GENERIC-GADGET-1,1,65.5,65.5,0,6.75,Refunded,-65.5
13958,10/6/2023,MOUSE-PAD-XL,1,24.99,24.99,9.99,6.4,Completed,0
12142,10/6/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
11484,10/6/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
13061,10/6/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Completed,0
14060,10/6/2023,SMART-HUB-X,1,89.99,89.99,0,6.75,Completed,0
10926,10/6/2023,SMART-HUB-X,3,89.99,269.97,0,6.75,Completed,0
13275,10/6/2023,GENERIC-GADGET-7,1,33.15,33.15,9.99,7.45,Completed,0
13939,10/6/2023,GENERIC-GADGET-6,1,38.3,38.3,9.99,6.75,Completed,0
11983,10/6/2023,MOUSE-PAD-XL,1,24.99,24.99,9.99,6.4,Completed,0
10243,10/6/2023,GENERIC-GADGET-4,1,65.08,65.08,0,8.15,Completed,0
13895,10/6/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
12669,10/6/2023,GENERIC-GADGET-10,1,77.76,77.76,0,8.15,Refunded,-77.76
14256,10/6/2023,GENERIC-GADGET-6,1,38.3,38.3,9.99,6.75,Completed,0
